"('MYREPUBLIC LIMITED', 133579)",1
"('Vodafone Australia Pty Ltd', 133612)",1
"('Shanghai Chenyi Network Technology Co.,Ltd', 56001)",1
"('VolumeDrive', 46664)",1
"('Mammoth Media Pty Ltd', 133159)",1
"('USONYX PTE LTD', 38532)",1
"(""Pentanet Pty Ltd - bringing Perth's internet up to speed"", 132458)",1
"('OASISGSSERVICES', 135779)",1
"('htp GmbH', 13045)",1
"('Chequamegon Communications Cooperative, Inc.', 397122)",1
"('Tianxin Group Co., Limited', 133041)",1
"('First Innovation K.K.', 133476)",1
"('Proimage Engineering and Communication Co.,Ltd.', 23884)",1
"('Lao Data Center', 17804)",1
"('WIZ TECHNOLOGIES', 54415)",1
"('Ell Innovations Pvt Ltd', 136665)",1
"('LEMON TELECOMMUNICATIONS LIMITED', 132325)",1
"('Starry Network Limited', 134835)",1
"('Speedy Cloud International Co., Ltd', 138011)",1
"('Ultimate Mobile limited', 133192)",1
"('Highwinds Network Group, Inc.', 33438)",1
"('Wallowa Valley Networks, LLC', 22466)",1
"('QuickPacket, LLC', 46261)",1
"('Metronet', 30600)",1
"('PEG TECH INC', 54600)",1
"('Nodisto IT, LLC', 394727)",1
"('Telkom-Internet', 37457)",1
"('Vodacom-VB', 36994)",1
"('kbro CO. Ltd.', 38841)",1
"('China Networks Inter-Exchange', 4847)",1
"('SilverIP Communications Inc.', 396447)",1
"('Start Communications', 40788)",1
"('Ownit AB', 33885)",1
"('Kyiv Optic Networks ltd', 34056)",1
"('Networx-Bulgaria Ltd.', 34569)",1
"('JSC ER-Telecom Holding', 25408)",1
"('T-Mobile Czech Republic a.s.', 13036)",1
"('JSC ER-Telecom Holding', 56330)",1
"('JSC ER-Telecom Holding', 57378)",1
"('ESCOM Ltd. - Haskovo', 25374)",1
"('Telnet Limited', 34754)",1
"('Serverel Inc.', 50245)",1
"('Vsevnet Ltd.', 44882)",1
"('CentroNet a.s.', 29321)",1
"('CJSC Ekran', 196742)",1
"('Egor Timoshenko', 203493)",1
"('CAT TELECOM Public Company Ltd,CAT', 131090)",1
"('PT Telekomunikasi Indonesia', 7713)",1
"('True Internet Co.,Ltd.', 17552)",1
"('DigiCentre Company Limited', 7532)",1
"('Voyager Internet Ltd.', 56030)",1
"('SMILESERV', 38700)",1
"('Jupiter Telecommunication Co. Ltd', 9824)",1
"('VocusGroup', 9790)",1
"('Internet Initiative Japan Inc.', 2497)",1
"('StarHub Ltd', 4657)",1
"('PT Telekomunikasi Indonesia', 17974)",1
"('Carnegie Mellon University', 9)",1
"('HETZNER', 37153)",1
"('University of Tulsa', 8036)",1
"('Xirra GmbH', 51191)",1
"('Consortium GARR', 137)",1
"('PhoenixNAP', 59210)",1
"(""TOV 'Dream Line Holding'"", 42352)",1
"('University of Innsbruck', 1110)",1
"('Cloud Computing Corporation', 58519)",1
"('Jisc Services Limited', 786)",1
"('Hiawatha Broadband Communications, Inc', 14828)",1
"('WildPark Co', 31272)",1
"('Pohang University of Science and Technology', 3784)",1
"('Hong Kong University of Science and Technology', 3363)",1
"('Drexel University', 11834)",1
"('Nord-West Link NP', 42893)",1
"('Unet Communication LLC', 42518)",1
"('JSC Silknet', 15491)",1
"('Seoul National University', 9488)",1
"('Sail Internet, Inc.', 396097)",1
"('Monkey Brains', 32329)",1
"('ALTICE DOMINICANA S.A.', 12066)",1
"('Binariang Berhad', 9534)",1
"('OVH SAS', 35540)",1
"('ServiHosting Networks S.L.', 29119)",1
"('NetCom BW GmbH', 41998)",1
"('KAB-Tech-AS', 37628)",1
"('SunnyVision Limited', 38478)",1
"('Anchnet Asia Limited', 137443)",1
"('KALWINEK.NET Lukasz Kalwinek', 206455)",1
"('Nova ehf', 43571)",1
"('Renater', 2094)",1
"('Consorci de Serveis Universitaris de Catalunya', 13041)",1
"('PT. Eka Mas Republik', 63859)",1
"('Mega-Line Ltd.', 41750)",1
"('Net-style Atarim Ltd', 199267)",1
"('tzulo, inc.', 11878)",1
"('Wisconsin CyberLynk Network, Inc.', 21554)",1
"('Cloud Iv Limited', 63889)",1
"('Internet Bermuda Limited', 3855)",1
"('University of California, Los Angeles', 52)",1
"('Spirit Communications', 2711)",1
"('ARLINK S.A.', 28075)",1
"('Triple T Internet/Triple T Broadband', 45758)",1
"('National Capital Freenet Inc', 397168)",1
"('Cipherkey Exchange Corp.', 25668)",1
"('Windstream Communications LLC', 7029)",1
"('GloboTech Communications', 36666)",1
"('Serverel Inc.', 15317)",1
"('Farmers Telephone Cooperative, Inc.', 20257)",1
"('Webair Internet Development Company Inc.', 27257)",1
"('Omskie kabelnye seti Ltd.', 47165)",1
